 Resultados de varianza vs tamaño de bin
 length_bin        Avg                Er. est.        Er.est./Num_spin       Var^2
       1     -1.028290E+04      2.181158E-01      2.181158E-05      4.757451E-02
       2     -1.028290E+04      2.348523E-01      2.348523E-05      5.515561E-02
       4     -1.028290E+04      2.503063E-01      2.503063E-05      6.265323E-02
       8     -1.028290E+04      2.617480E-01      2.617480E-05      6.851202E-02
      16     -1.028290E+04      2.688146E-01      2.688146E-05      7.226130E-02
      32     -1.028290E+04      2.714047E-01      2.714047E-05      7.366054E-02
      64     -1.028290E+04      2.738821E-01      2.738821E-05      7.501138E-02
     128     -1.028290E+04      2.765022E-01      2.765022E-05      7.645345E-02
     256     -1.028290E+04      2.807797E-01      2.807797E-05      7.883725E-02
     512     -1.028290E+04      2.777307E-01      2.777307E-05      7.713434E-02
    1024     -1.028290E+04      2.761964E-01      2.761964E-05      7.628447E-02
    2048     -1.028290E+04      2.684491E-01      2.684491E-05      7.206492E-02
    4096     -1.028290E+04      2.636676E-01      2.636676E-05      6.952061E-02
    8192     -1.028290E+04      2.519179E-01      2.519179E-05      6.346261E-02
   16384     -1.028290E+04      2.658412E-01      2.658412E-05      7.067154E-02
   32768     -1.028290E+04      2.455921E-01      2.455921E-05      6.031549E-02
   65536     -1.028290E+04      1.787486E-01      1.787486E-05      3.195106E-02
